Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,CJ Abrams,22,WSN,NL,89,340,316,47,82,17,4,10,39,19,2,13,72,0.259,0.306,0.434,0.739,105,137,5,8,3,0,0
2,José Abreu,36,HOU,AL,95,400,368,33,90,16,0,8,50,0,1,24,92,0.245,0.293,0.353,0.646,79,130,11,3,0,5,1
3,Ronald Acuna Jr.,25,ATL,NL,97,446,391,86,129,26,1,23,58,45,7,49,53,0.33,0.408,0.578,0.986,160,226,7,4,0,2,2
4,Willy Adames,27,MIL,NL,89,383,336,44,71,16,0,17,48,4,3,37,98,0.211,0.291,0.411,0.702,90,138,9,3,0,5,0
5,Riley Adams,27,WSN,NL,23,87,79,4,22,5,2,3,10,0,0,6,26,0.278,0.337,0.506,0.844,133,40,4,1,1,0,0
6,Ty Adcock,26,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Jo Adell,24,LAA,AL,5,14,13,2,3,1,1,1,3,0,0,1,6,0.231,0.286,0.692,0.978,156,9,0,0,0,0,0
8,Ehire Adrianza#,33,ATL,NL,5,11,10,0,0,0,0,0,0,0,0,1,4,0,0.091,0,0.091,-72,0,0,0,0,0,0
9,Jesús Aguilar,33,OAK,AL,36,115,104,8,23,2,0,5,9,0,0,8,31,0.221,0.281,0.385,0.665,89,40,3,1,0,1,2
10,Nick Ahmed,33,ARI,NL,51,149,141,13,33,9,0,2,14,5,1,8,36,0.234,0.275,0.34,0.616,69,48,0,0,0,0,0
11,Hanser Alberto,30,CHW,AL,30,90,82,11,18,5,0,3,16,0,0,4,13,0.22,0.261,0.39,0.652,77,32,1,1,2,1,0
12,Ozzie Albies#,26,ATL,NL,97,415,371,57,95,17,3,22,66,7,0,31,63,0.256,0.317,0.496,0.813,113,184,6,5,0,6,2
13,Scott Alexander,33,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Jorge Alfaro,30,TOT,MLB,16,50,47,2,7,4,0,1,4,0,0,2,15,0.149,0.2,0.298,0.498,29,14,3,1,0,0,0
15,Jorge Alfaro,30,COL,NL,10,32,31,2,5,4,0,1,4,0,0,0,12,0.161,0.188,0.387,0.575,44,12,2,1,0,0,0
16,Jorge Alfaro,30,BOS,AL,6,18,16,0,2,0,0,0,0,0,0,2,3,0.125,0.222,0.125,0.347,-2,2,1,0,0,0,0
17,Greg Allen#,30,NYY,AL,10,17,14,5,3,0,1,1,1,1,0,1,7,0.214,0.313,0.571,0.884,139,8,0,1,1,0,0
18,Nick Allen,24,OAK,AL,52,151,139,13,26,1,0,1,6,1,1,8,29,0.187,0.23,0.216,0.446,30,30,2,0,3,1,0
19,Pete Alonso,28,NYM,NL,90,380,332,54,70,9,2,26,63,3,0,36,79,0.211,0.308,0.485,0.793,117,161,11,11,0,1,0
20,Jose Altuve,33,HOU,AL,32,143,121,25,32,8,0,6,18,5,1,20,25,0.264,0.371,0.479,0.85,135,58,4,1,0,1,0
21,Jake Alu,26,WSN,NL,5,15,14,0,3,0,0,0,0,1,0,1,4,0.214,0.267,0.214,0.481,38,3,0,0,0,0,0
22,Francisco Alvarez,21,NYM,NL,73,254,234,34,56,7,0,19,41,0,0,16,65,0.239,0.299,0.513,0.812,121,120,8,4,0,0,0
23,Yordan Alvarez,26,HOU,AL,57,242,202,41,56,12,0,17,55,0,0,32,55,0.277,0.388,0.589,0.978,168,119,5,6,0,2,2
24,Jacob Amaya,24,MIA,NL,4,9,9,1,2,0,0,0,2,1,0,0,1,0.222,0.222,0.222,0.444,23,2,0,0,0,0,0
25,Miguel Amaya,24,CHC,NL,27,89,73,11,20,4,0,2,13,0,0,6,24,0.274,0.386,0.411,0.797,117,30,1,8,1,1,0
26,Brian Anderson,30,MIL,NL,85,334,292,35,67,11,2,9,38,0,3,35,99,0.229,0.317,0.373,0.691,89,109,9,4,0,3,0
27,Tim Anderson,30,CHW,AL,75,326,306,33,73,10,1,0,16,10,1,17,67,0.239,0.279,0.278,0.557,55,85,12,1,0,2,0
28,Elvis Andrus,34,CHW,AL,69,251,223,20,47,8,1,2,20,6,4,21,42,0.211,0.288,0.283,0.571,59,63,1,4,1,2,1
29,Miguel Andujar,28,PIT,NL,13,33,31,2,5,1,0,2,6,0,0,2,5,0.161,0.212,0.387,0.599,59,12,0,0,0,0,0
30,Jonathan Aranda,25,TBR,AL,4,15,15,2,3,1,0,0,2,0,0,0,6,0.2,0.2,0.267,0.467,30,4,0,0,0,0,0
31,Orlando Arcia,28,ATL,NL,76,294,272,40,78,12,0,10,34,1,0,21,56,0.287,0.34,0.441,0.781,107,120,10,1,0,0,0
32,Nolan Arenado,32,STL,NL,95,405,367,47,105,19,2,21,76,2,3,29,72,0.286,0.336,0.52,0.856,130,191,12,2,0,7,3
33,Gabriel Arias,23,CLE,AL,72,162,140,14,25,5,0,4,6,0,3,22,52,0.179,0.29,0.3,0.59,67,42,5,0,0,0,0
34,Randy Arozarena,28,TBR,AL,97,413,350,59,95,10,2,17,62,11,7,48,101,0.271,0.373,0.457,0.83,132,160,5,11,0,4,0
35,Luis Arraez,26,MIA,NL,94,399,363,41,136,21,2,3,47,1,2,29,22,0.375,0.424,0.468,0.892,146,170,13,4,0,3,8
36,Christian Arroyo,28,BOS,AL,58,189,178,23,44,15,0,3,21,1,2,7,42,0.247,0.277,0.382,0.659,75,68,6,1,1,2,0
37,José Azocar,27,SDP,NL,26,55,51,8,12,2,0,0,3,6,1,1,11,0.235,0.25,0.275,0.525,48,14,0,0,3,0,0
38,Akil Baddoo,24,DET,AL,59,199,170,20,37,8,0,4,19,6,1,27,46,0.218,0.323,0.335,0.659,85,57,2,0,1,1,2
39,Harrison Bader,29,NYY,AL,50,186,174,23,43,6,2,7,31,9,2,6,30,0.247,0.28,0.425,0.705,93,74,2,3,0,3,0
40,Ji Hwan Bae,23,PIT,NL,76,239,214,37,51,9,0,2,19,20,6,18,58,0.238,0.301,0.308,0.609,67,66,2,2,3,2,0
41,Javier Báez,30,DET,AL,93,387,364,39,83,12,4,7,46,9,0,15,85,0.228,0.264,0.341,0.605,68,124,8,4,0,3,0
42,Patrick Bailey#,24,SFG,NL,47,174,163,15,43,12,1,5,29,1,0,5,50,0.264,0.297,0.442,0.738,100,72,3,3,2,1,0
43,Bryan Baker,28,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Luken Baker,26,STL,NL,7,20,19,2,5,0,0,0,0,0,0,1,8,0.263,0.3,0.263,0.563,57,5,0,0,0,0,0
45,Rylan Bannon,27,HOU,AL,2,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
46,Scott Barlow,30,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Austin Barnes,33,LAD,NL,35,114,102,4,11,2,0,0,5,2,1,10,28,0.108,0.193,0.127,0.32,-11,13,3,1,0,1,0
48,Tucker Barnhart,32,CHC,NL,40,114,100,5,20,3,0,1,8,1,0,12,37,0.2,0.289,0.26,0.549,51,26,3,1,0,1,0
49,Tres Barrera,28,STL,NL,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
50,Jose Barrero,25,CIN,NL,46,149,133,15,29,8,0,2,17,3,2,15,44,0.218,0.295,0.323,0.619,65,43,1,0,0,1,0
51,Joey Bart,26,SFG,NL,26,84,78,8,18,5,0,0,4,0,0,2,21,0.231,0.286,0.295,0.581,61,23,0,4,0,0,0
52,Matthew Batten,28,SDP,NL,5,7,5,2,2,0,0,1,2,0,1,2,1,0.4,0.571,1,1.571,331,5,0,0,0,0,0
53,Brett Baty,23,NYM,NL,73,264,238,32,57,9,0,7,26,2,0,20,70,0.239,0.303,0.366,0.668,86,87,7,2,0,1,0
54,Jake Bauers,27,NYY,AL,49,154,134,18,30,12,0,7,19,2,0,18,46,0.224,0.312,0.47,0.782,114,63,3,0,0,2,0
55,Mike Baumann,27,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Matt Beaty,30,TOT,MLB,7,11,10,1,3,1,0,0,3,0,0,1,2,0.3,0.364,0.4,0.764,112,4,0,0,0,0,0
57,Matt Beaty,30,SFG,NL,4,5,5,1,1,0,0,0,1,0,0,0,2,0.2,0.2,0.2,0.4,11,1,0,0,0,0,0
58,Matt Beaty,30,KCR,AL,3,6,5,0,2,1,0,0,2,0,0,1,0,0.4,0.5,0.6,1.1,204,3,0,0,0,0,0
59,Josh Bell#,30,CLE,AL,89,361,316,23,76,18,0,11,47,0,1,42,76,0.241,0.33,0.402,0.732,105,127,4,1,0,2,1
60,Cody Bellinger,27,CHC,NL,67,283,254,52,81,15,1,13,41,12,3,22,47,0.319,0.371,0.539,0.91,143,137,3,2,0,5,2
61,Brandon Belt,35,TOR,AL,67,258,215,29,54,17,0,7,23,0,0,41,95,0.251,0.372,0.428,0.8,125,92,3,1,0,1,1
62,Anthony Bemboom,33,BAL,AL,6,13,11,0,2,0,0,0,0,0,0,2,2,0.182,0.308,0.182,0.49,43,2,0,0,0,0,0
63,Andrew Benintendi,28,CHW,AL,93,389,350,49,101,24,1,2,29,11,1,33,56,0.289,0.353,0.38,0.733,103,133,4,3,1,2,5
64,Will Benson,25,CIN,NL,53,164,140,25,40,7,4,6,17,9,2,24,44,0.286,0.39,0.521,0.912,139,73,1,0,0,0,0
65,José Berríos,29,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Jon Berti,33,MIA,NL,81,268,247,35,72,9,2,2,18,11,4,16,51,0.291,0.335,0.368,0.703,94,91,8,1,2,2,1
67,Christian Bethancourt,31,TBR,AL,65,217,207,30,47,12,0,7,22,0,0,7,54,0.227,0.25,0.386,0.636,76,80,4,0,1,2,0
