Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,PLAYOFFS,YEAR,Range_Factor
Arizona Diamondbacks,57,4.57,0.704,162,1458,1097,12870,5746,4290,1370,86,134,0.985,27,1,2022,34.9382716
Atlanta Braves,53,3.76,0.701,162,1458,1195,13032,5803,4344,1382,77,110,0.987,18,0,2022,35.34567901
Baltimore Orioles,57,4.25,0.69,162,1458,1121,12900,5920,4300,1529,91,151,0.985,8,1,2022,35.98148148
Boston Red Sox,53,4.86,0.683,162,1458,1105,12879,5825,4293,1447,85,134,0.985,0,1,2022,35.43209877
Chicago Cubs,64,4.51,0.697,162,1458,1086,12993,5880,4331,1453,96,139,0.984,0,0,2022,35.7037037
Chicago White Sox,44,4.43,0.688,162,1458,1093,13029,5738,4343,1293,102,122,0.982,-67,1,2022,34.79012346
Cincinnati Reds,65,5.03,0.689,162,1458,1095,12810,5647,4270,1296,81,115,0.986,-24,1,2022,34.35802469
Cleveland Guardians,50,3.91,0.709,162,1458,1131,13104,5908,4368,1443,97,127,0.984,51,0,2022,35.87037037
Colorado Rockies,43,5.39,0.673,162,1458,1128,12828,5968,4276,1592,100,154,0.983,-49,1,2022,36.22222222
Detroit Tigers,52,4.4,0.701,162,1458,1157,12777,5757,4259,1404,94,137,0.984,7,0,2022,34.95679012
Houston Astros,44,3.2,0.719,162,1458,1140,13008,5698,4336,1290,72,122,0.987,44,1,2022,34.72839506
Kansas City Royals,55,5,0.675,162,1458,1109,12744,5829,4248,1499,82,153,0.986,-21,1,2022,35.47530864
Los Angeles Angels,66,4.12,0.709,162,1458,1004,12921,5773,4307,1382,84,134,0.985,29,0,2022,35.11728395
Los Angeles Dodgers,51,3.17,0.729,162,1458,1135,13062,5788,4354,1351,83,120,0.986,74,0,2022,35.21604938
Miami Marlins,56,4.17,0.694,162,1458,1077,12936,5841,4312,1460,69,143,0.988,14,0,2022,35.62962963
Milwaukee Brewers,51,4.25,0.704,162,1458,1110,13014,5848,4338,1419,91,122,0.984,1,1,2022,35.53703704
Minnesota Twins,61,4.22,0.702,162,1458,1061,12933,5701,4311,1307,83,121,0.985,18,0,2022,34.67901235
New York Mets,59,3.74,0.692,162,1458,1103,12948,5742,4316,1359,67,128,0.988,-34,0,2022,35.0308642
New York Yankees,54,3.5,0.72,162,1458,1092,13065,5902,4355,1473,74,102,0.987,70,1,2022,35.97530864
Oakland Athletics,64,4.75,0.697,162,1458,1036,12837,5837,4279,1466,92,139,0.984,-45,0,2022,35.46296296
Philadelphia Phillies,56,4.23,0.687,162,1458,1104,12855,5770,4285,1416,69,129,0.988,-37,0,2022,35.19135802
Pittsburgh Pirates,68,5.04,0.677,162,1458,1060,12789,5891,4263,1507,121,152,0.979,-53,1,2022,35.61728395
San Diego Padres,55,4.07,0.705,162,1458,1081,12990,5768,4330,1362,76,116,0.987,-7,0,2022,35.13580247
Seattle Mariners,59,3.85,0.71,162,1458,1088,13023,5727,4341,1317,69,114,0.988,18,0,2022,34.92592593
San Francisco Giants,65,4.3,0.674,162,1458,870,12897,5945,4299,1546,100,130,0.983,-52,0,2022,36.08024691
St. Louis Cardinals,51,3.93,0.702,162,1458,1041,12921,6074,4307,1701,66,181,0.989,41,0,2022,37.08641975
Tampa Bay Rays,61,3.79,0.708,162,1458,1067,12921,5777,4307,1386,84,110,0.985,8,0,2022,35.14197531
Texas Rangers,55,4.59,0.693,162,1458,1137,12915,5929,4305,1528,96,143,0.984,-1,1,2022,36.00617284
Toronto Blue Jays,51,4.19,0.691,162,1458,1065,12972,5754,4324,1348,82,120,0.986,6,0,2022,35.01234568
Washington Nationals,54,5.28,0.687,162,1458,1163,12705,5749,4235,1410,104,126,0.982,-49,0,2022,34.84567901
Arizona Diamondbacks,64,5.51,0.685,162,1458,1030,12756,5726,4252,1374,100,113,0.983,-20,0,2021,34.72839506
Atlanta Braves,55,4.07,0.708,161,1449,1126,12696,5786,4232,1483,71,104,0.988,58,0,2021,35.49689441
Baltimore Orioles,62,5.9,0.683,162,1458,1093,12618,5639,4206,1359,74,101,0.987,-44,1,2021,34.35185185
Boston Red Sox,56,4.62,0.659,162,1458,1104,12771,5786,4257,1421,108,143,0.981,-68,1,2021,35.04938272
Chicago Cubs,68,5.18,0.691,162,1458,1039,12714,5879,4238,1554,87,149,0.985,-24,1,2021,35.75308642
Chicago White Sox,47,3.93,0.694,162,1458,1117,12630,5517,4210,1210,97,112,0.982,-48,0,2021,33.45679012
Cincinnati Reds,55,4.69,0.688,162,1458,1052,12909,5816,4303,1422,91,125,0.984,-26,0,2021,35.33950617
Cleveland Indians,48,4.49,0.703,162,1458,1149,12672,5710,4224,1400,86,138,0.985,32,0,2021,34.71604938
Colorado Rockies,45,4.94,0.686,161,1449,1094,12573,5780,4191,1516,73,140,0.987,20,0,2021,35.44720497
Detroit Tigers,49,4.67,0.698,162,1458,1145,12777,5834,4259,1492,83,136,0.986,-22,0,2021,35.5
Houston Astros,51,4.06,0.713,162,1458,1153,13005,5836,4335,1432,69,126,0.988,53,1,2021,35.59876543
Kansas City Royals,47,4.86,0.685,162,1458,1114,12756,5758,4252,1422,84,152,0.985,21,0,2021,35.02469136
Los Angeles Angels,64,4.96,0.68,162,1458,1108,12795,5772,4265,1419,88,131,0.985,-30,0,2021,35.08641975
Los Angeles Dodgers,61,3.46,0.723,162,1458,1021,13068,5748,4356,1303,89,94,0.985,34,1,2021,34.93209877
Miami Marlins,61,4.33,0.689,162,1458,1107,12735,5810,4245,1443,122,146,0.979,4,0,2021,35.11111111
Milwaukee Brewers,59,3.85,0.708,162,1458,1041,12923,5732,4308,1330,94,102,0.984,36,1,2021,34.80246914
Minnesota Twins,56,5.15,0.692,162,1458,1066,12774,5785,4258,1420,107,139,0.982,-16,0,2021,35.04938272
New York Mets,63,4.12,0.697,162,1458,1069,12400.2,5543,4138,1311,94,121,0.983,16,0,2021,33.63580247
New York Yankees,58,4.13,0.698,162,1458,1044,12914.2,5721,4306,1317,98,115,0.983,-37,1,2021,34.70987654
Oakland Athletics,50,4.24,0.698,162,1458,1101,12897,5691,4299,1320,72,116,0.987,-9,0,2021,34.68518519
Philadelphia Phillies,55,4.6,0.687,162,1458,1053,12768,5789,4256,1439,94,142,0.984,-52,0,2021,35.15432099
Pittsburgh Pirates,64,5.14,0.687,162,1458,1129,12567,5637,4189,1378,70,139,0.988,-26,0,2021,34.36419753
San Diego Padres,54,4.37,0.698,162,1458,1119,12870,5771,4290,1399,82,139,0.986,-12,0,2021,35.11728395
Seattle Mariners,62,4.62,0.699,162,1458,1166,12963,5784,4321,1384,79,135,0.986,-5,1,2021,35.21604938
San Francisco Giants,54,3.67,0.707,162,1458,913,13095,5916,4365,1471,80,122,0.986,40,0,2021,36.02469136
St. Louis Cardinals,51,4.15,0.714,162,1458,1147,12753,5848,4251,1513,84,137,0.986,47,1,2021,35.58024691
Tampa Bay Rays,61,4.02,0.706,162,1458,1038,13101,5805,4367,1358,80,130,0.986,35,0,2021,35.33950617
Texas Rangers,54,5.03,0.698,162,1458,1199,12819,5818,4273,1462,83,146,0.986,56,1,2021,35.40123457
Toronto Blue Jays,60,4.09,0.7,162,1458,1047,12639.1,5676,4216,1370,90,122,0.984,5,0,2021,34.48148148
Washington Nationals,59,5.06,0.694,162,1458,1168,12549,5641,4184,1361,96,116,0.983,-32,0,2021,34.22839506
