,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,PLAYOFFS,YEAR,Range_Factor
0,0,0,0,0,0,0,0,0,0,0,0,0,Arizona Diamondbacks,57,4.57,0.704,162,1458,1097,12870.0,5746,4290,1370,86,134,0.985,27,1.0,2022,3.958041958041958
1,1,1,1,1,1,1,1,1,1,1,1,1,Atlanta Braves,53,3.76,0.701,162,1458,1195,13032.0,5803,4344,1382,77,110,0.987,18,0.0,2022,3.9544198895027622
2,2,2,2,2,2,2,2,2,2,2,2,2,Baltimore Orioles,57,4.25,0.69,162,1458,1121,12900.0,5920,4300,1529,91,151,0.985,8,1.0,2022,4.0667441860465114
3,3,3,3,3,3,3,3,3,3,3,3,3,Boston Red Sox,53,4.86,0.683,162,1458,1105,12879.0,5825,4293,1447,85,134,0.985,0,1.0,2022,4.011180992313068
4,4,4,4,4,4,4,4,4,4,4,4,4,Chicago Cubs,64,4.51,0.697,162,1458,1086,12993.0,5880,4331,1453,96,139,0.984,0,0.0,2022,4.006465019625953
5,5,5,5,5,5,5,5,5,5,5,5,5,Chicago White Sox,44,4.43,0.688,162,1458,1093,13029.0,5738,4343,1293,102,122,0.982,-67,1.0,2022,3.8931614091641724
6,6,6,6,6,6,6,6,6,6,6,6,6,Cincinnati Reds,65,5.03,0.689,162,1458,1095,12810.0,5647,4270,1296,81,115,0.986,-24,1.0,2022,3.9105386416861827
7,7,7,7,7,7,7,7,7,7,7,7,7,Cleveland Guardians,50,3.91,0.709,162,1458,1131,13104.0,5908,4368,1443,97,127,0.984,51,0.0,2022,3.9910714285714284
8,8,8,8,8,8,8,8,8,8,8,8,8,Colorado Rockies,43,5.39,0.673,162,1458,1128,12828.0,5968,4276,1592,100,154,0.983,-49,1.0,2022,4.1169317118802615
9,9,9,9,9,9,9,9,9,9,9,9,9,Detroit Tigers,52,4.4,0.701,162,1458,1157,12777.0,5757,4259,1404,94,137,0.984,7,0.0,2022,3.988964545667997
10,10,10,10,10,10,10,10,10,10,10,10,10,Houston Astros,44,3.2,0.719,162,1458,1140,13008.0,5698,4336,1290,72,122,0.987,44,1.0,2022,3.8925276752767526
11,11,11,11,11,11,11,11,11,11,11,11,11,Kansas City Royals,55,5.0,0.675,162,1458,1109,12744.0,5829,4248,1499,82,153,0.986,-21,1.0,2022,4.05861581920904
12,12,12,12,12,12,12,12,12,12,12,12,12,Los Angeles Angels,66,4.12,0.709,162,1458,1004,12921.0,5773,4307,1382,84,134,0.985,29,0.0,2022,3.9626189923380544
