Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,MAKE PLAYOFFS,wOBP,SO%
Arizona Diamondbacks,54,27.4,4.6,162,6124,5436,746,1359,274,44,166,706,166,26,540,1247,0.25,0.322,0.408,0.73,98,2219,121,58,36,50,11,1091,1,0.350666667,0.229396615
Atlanta Braves,53,27.9,5.85,162,6249,5597,947,1543,293,23,307,916,132,27,538,1289,0.276,0.344,0.501,0.845,124,2803,128,67,2,43,20,1062,1,0.396333333,0.230301947
Chicago Cubs,48,28.4,5.06,162,6220,5504,819,1399,269,30,196,786,140,34,570,1391,0.254,0.33,0.421,0.751,101,2316,95,77,15,52,11,1127,0,0.360333333,0.252725291
Cincinnati Reds,65,26.8,4.83,162,6195,5499,783,1371,268,37,198,747,190,48,556,1500,0.249,0.327,0.42,0.746,99,2307,101,92,19,29,8,1107,0,0.358,0.272776869
Colorado Rockies,57,28.1,4.45,162,6055,5496,721,1368,305,31,163,685,76,25,447,1543,0.249,0.31,0.405,0.715,83,2224,124,59,11,41,8,1038,0,0.341666667,0.280749636
Los Angeles Dodgers,58,30.9,5.59,162,6333,5524,906,1422,303,20,249,877,105,25,644,1359,0.257,0.34,0.455,0.795,113,2512,98,85,5,69,29,1163,1,0.378333333,0.246017379
Miami Marlins,52,29.4,4.11,162,6043,5497,666,1423,258,23,166,633,86,21,430,1287,0.259,0.316,0.405,0.721,94,2225,159,50,22,38,23,1097,1,0.345666667,0.234127706
Milwaukee Brewers,58,27.7,4.49,162,6084,5386,728,1290,257,16,165,696,129,28,591,1412,0.24,0.319,0.385,0.704,93,2074,144,58,7,39,15,1075,1,0.341,0.262161159
New York Mets,59,28.9,4.43,162,6056,5363,717,1276,221,21,215,692,118,15,525,1331,0.238,0.316,0.407,0.723,98,2184,105,107,19,38,11,1082,0,0.346333333,0.248181988
Philadelphia Phillies,44,28.4,4.91,162,6207,5541,796,1417,291,29,220,771,141,26,539,1481,0.256,0.327,0.438,0.765,108,2426,110,69,13,42,22,1123,1,0.364,0.267280274
Pittsburgh Pirates,58,27.3,4.27,162,6089,5406,692,1293,287,31,159,662,117,41,556,1464,0.239,0.315,0.392,0.707,92,2119,92,58,25,43,9,1111,0,0.340666667,0.270810211
San Diego Padres,56,28.4,4.64,162,6180,5401,752,1316,273,14,205,719,137,32,653,1311,0.244,0.329,0.413,0.742,106,2232,134,57,22,44,16,1144,0,0.357,0.242732827
