Tm,#Bat,BatAge,R/G,G,PA,AB,Runs Scored,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,PLAYOFFS,UBB,wOBA,Runs Allowed,Py_Win%,W,L,W-L%,YEAR
Arizona Diamondbacks,54,27.4,4.6,162,6124,5436,746,1359,274,44,166,706,166,26,540,1247,0.25,0.322,0.408,0.73,98,2219,121,58,36,50,11,1091,1,529,0.321649926,761,0.490047436,84,78,0.519,2023
Atlanta Braves,53,27.9,5.85,162,6249,5597,947,1543,293,23,307,916,132,27,538,1289,0.276,0.344,0.501,0.845,124,2803,128,67,2,43,20,1062,1,518,0.366028916,716,0.636276176,104,58,0.642,2023
Baltimore Orioles,50,27.3,4.98,162,6123,5495,807,1399,309,28,183,780,114,24,512,1370,0.255,0.321,0.421,0.742,107,2313,114,45,21,47,14,1041,1,498,0.325459326,678,0.586218071,101,61,0.623,2023
Boston Red Sox,56,28.6,4.77,162,6174,5562,772,1437,339,19,182,734,112,26,486,1372,0.258,0.324,0.424,0.748,100,2360,118,71,11,35,15,1117,0,471,0.328709888,776,0.497416038,78,84,0.481,2023
Chicago Cubs,48,28.4,5.06,162,6220,5504,819,1399,269,30,196,786,140,34,570,1391,0.254,0.33,0.421,0.751,101,2316,95,77,15,52,11,1127,0,559,0.330675065,723,0.562016439,83,79,0.512,2023
Chicago White Sox,56,27.8,3.96,162,5980,5501,641,1308,264,13,171,617,86,22,377,1424,0.238,0.291,0.384,0.675,83,2111,122,52,16,29,19,1009,0,358,0.297188552,841,0.367461066,61,101,0.377,2023
Cincinnati Reds,65,26.8,4.83,162,6195,5499,783,1371,268,37,198,747,190,48,556,1500,0.249,0.327,0.42,0.746,99,2307,101,92,19,29,8,1107,0,548,0.329601167,821,0.476322516,82,80,0.506,2023
Cleveland Guardians,50,26.6,4.09,162,6096,5513,662,1379,294,29,124,622,151,36,471,1142,0.25,0.313,0.381,0.695,94,2103,108,55,13,44,40,1121,0,431,0.305680953,697,0.47426284,76,86,0.469,2023
Colorado Rockies,57,28.1,4.45,162,6055,5496,721,1368,305,31,163,685,76,25,447,1543,0.249,0.31,0.405,0.715,83,2224,124,59,11,41,8,1038,0,439,0.314609776,957,0.362084433,59,103,0.364,2023
Detroit Tigers,51,27.4,4.08,162,6080,5478,661,1292,245,29,165,635,85,23,508,1473,0.236,0.305,0.382,0.686,87,2090,107,49,13,31,10,1103,0,498,0.30427675,740,0.443790432,78,84,0.481,2023
Houston Astros,41,28.8,5.1,162,6253,5567,827,1441,280,22,222,799,107,32,550,1241,0.259,0.331,0.437,0.768,111,2431,124,72,14,40,17,1134,1,533,0.336957502,698,0.58398918,90,72,0.556,2023
Kansas City Royals,58,26.3,4.17,162,5985,5428,676,1325,258,43,163,651,163,47,411,1396,0.244,0.303,0.398,0.7,91,2158,96,71,14,58,12,1009,0,399,0.307646071,859,0.382452461,56,106,0.346,2023
Los Angeles Angels,66,28.6,4.56,162,6145,5489,739,1346,248,26,231,708,72,31,518,1524,0.245,0.317,0.426,0.743,100,2339,117,79,8,46,27,1102,0,491,0.325362817,829,0.442790519,73,89,0.451,2023
Los Angeles Dodgers,58,30.9,5.59,162,6333,5524,906,1422,303,20,249,877,105,25,644,1359,0.257,0.34,0.455,0.795,113,2512,98,85,5,69,29,1163,1,615,0.346759892,699,0.626861773,100,62,0.617,2023
Miami Marlins,52,29.4,4.11,162,6043,5497,666,1423,258,23,166,633,86,21,430,1287,0.259,0.316,0.405,0.721,94,2225,159,50,22,38,23,1097,1,407,0.316920895,723,0.459032273,84,78,0.519,2023
Milwaukee Brewers,58,27.7,4.49,162,6084,5386,728,1290,257,16,165,696,129,28,591,1412,0.24,0.319,0.385,0.704,93,2074,144,58,7,39,15,1075,1,576,0.312970787,647,0.558705367,92,70,0.568,2023
Minnesota Twins,48,28.6,4.8,162,6219,5489,778,1336,264,24,233,745,86,18,594,1654,0.243,0.326,0.428,0.753,106,2347,119,92,12,32,13,1138,1,581,0.331924443,659,0.582247382,87,75,0.537,2023
New York Mets,59,28.9,4.43,162,6056,5363,717,1276,221,21,215,692,118,15,525,1331,0.238,0.316,0.407,0.723,98,2184,105,107,19,38,11,1082,0,514,0.319960146,729,0.491701816,75,87,0.463,2023
New York Yankees,54,28.5,4.15,162,5973,5323,673,1207,221,15,219,650,100,30,557,1427,0.227,0.304,0.397,0.701,91,2115,119,47,9,36,18,1007,0,539,0.309486964,698,0.481771196,82,80,0.506,2023
Oakland Athletics,62,27.1,3.61,162,5966,5311,585,1187,225,21,171,563,149,31,498,1496,0.223,0.298,0.37,0.669,91,1967,125,85,28,36,12,1043,0,486,0.297517742,924,0.286141065,50,112,0.309,2023
Philadelphia Phillies,44,28.4,4.91,162,6207,5541,796,1417,291,29,220,771,141,26,539,1481,0.256,0.327,0.438,0.765,108,2426,110,69,13,42,22,1123,1,517,0.334817637,715,0.553453274,90,72,0.556,2023
Pittsburgh Pirates,58,27.3,4.27,162,6089,5406,692,1293,287,31,159,662,117,41,556,1464,0.239,0.315,0.392,0.707,92,2119,92,58,25,43,9,1111,0,547,0.312857615,790,0.434161042,76,86,0.469,2023
San Diego Padres,56,28.4,4.64,162,6180,5401,752,1316,273,14,205,719,137,32,653,1311,0.244,0.329,0.413,0.742,106,2232,134,57,22,44,16,1144,0,637,0.32803714,648,0.573878028,82,80,0.506,2023
Seattle Mariners,56,27.8,4.68,162,6201,5500,758,1332,283,12,210,728,118,30,548,1603,0.242,0.321,0.413,0.734,106,2269,95,111,4,37,14,1144,0,534,0.324208994,659,0.569526538,88,74,0.543,2023
San Francisco Giants,52,28.4,4.16,162,6095,5412,674,1271,256,13,174,651,57,16,544,1492,0.235,0.312,0.383,0.695,92,2075,116,81,17,39,19,1130,0,525,0.308580155,719,0.467729298,79,83,0.488,2023
St. Louis Cardinals,52,27.5,4.44,162,6204,5510,719,1376,264,12,209,697,101,29,570,1326,0.25,0.326,0.416,0.742,101,2291,122,70,13,37,17,1183,0,553,0.327160454,829,0.429297576,71,91,0.438,2023
Tampa Bay Rays,58,26.8,5.31,162,6164,5511,860,1432,282,24,230,827,160,41,514,1420,0.26,0.331,0.445,0.776,114,2452,109,95,6,38,7,1047,1,507,0.340707202,665,0.625811774,99,63,0.611,2023
Texas Rangers,48,28.3,5.44,162,6306,5595,881,1470,326,18,233,845,79,19,599,1416,0.263,0.337,0.452,0.79,113,2531,103,53,10,47,17,1164,1,582,0.345227019,716,0.602227469,90,72,0.556,2023
Toronto Blue Jays,46,28.8,4.6,162,6220,5562,746,1423,292,19,188,705,99,34,550,1303,0.256,0.329,0.417,0.745,106,2317,129,69,4,32,14,1170,1,536,0.328811099,671,0.55278086,89,73,0.549,2023
Washington Nationals,48,26.8,4.32,162,6085,5522,700,1401,279,26,151,665,127,29,423,1149,0.254,0.314,0.396,0.709,95,2185,112,78,20,38,6,1082,0,417,0.313540875,845,0.406968294,71,91,0.438,2023
